11.47, 83.10, -26.30, 2.25, -1.75, 3.04, -0.24, -0.10, 0.86, 250199365, 1215384875, 49010, 286196
11.47, 83.10, -26.30, 3.01, -2.07, 3.58, -0.24, -0.10, 0.86, 250199365, 1215384875, 49010, 286202
11.47, 83.10, -26.30, 3.90, -2.20, 4.03, -0.24, -0.11, 0.86, 250199365, 1215384875, 49010, 286208
11.47, 83.10, -26.30, 4.26, -2.18, 4.49, -0.25, -0.12, 0.86, 250199365, 1215384875, 49010, 286214
11.47, 83.10, -26.30, 4.40, -2.06, 4.91, -0.26, -0.13, 0.86, 250199365, 1215384875, 49010, 286219
11.47, 83.10, -26.30, 3.89, -1.46, 5.29, -0.26, -0.15, 0.86, 250199365, 1215384875, 49010, 286225
11.47, 83.10, -26.30, 3.23, -1.14, 5.13, -0.26, -0.14, 0.87, 250199365, 1215384875, 49010, 286231
11.47, 83.10, -26.30, 2.77, -0.98, 4.82, -0.26, -0.15, 0.88, 250199365, 1215384875, 49010, 286237
11.47, 83.10, -26.30, 2.40, -1.11, 4.48, -0.26, -0.15, 0.88, 250199365, 1215384875, 49010, 286243
11.47, 83.10, -26.30, 1.93, -1.16, 4.03, -0.26, -0.15, 0.88, 250199365, 1215384875, 49010, 286249
11.47, 83.10, -26.30, 1.63, -1.38, 3.29, -0.25, -0.13, 0.89, 250199365, 1215384875, 49010, 286255
11.47, 83.10, -26.30, 1.79, -1.65, 3.06, -0.25, -0.13, 0.88, 250199365, 1215384875, 49010, 286261
11.47, 83.10, -26.30, 2.06, -1.75, 2.88, -0.26, -0.12, 0.88, 250199365, 1215384875, 49010, 286267
11.47, 83.10, -26.30, 2.23, -1.75, 2.94, -0.27, -0.11, 0.87, 250199365, 1215384875, 49010, 286273
11.47, 83.10, -26.30, 2.34, -1.53, 3.08, -0.27, -0.11, 0.87, 250199365, 1215384875, 49010, 286279
10.98, 83.27, -26.77, 1.92, -0.47, 3.91, -0.27, -0.10, 0.87, 250199365, 1215384875, 49010, 286285
10.98, 83.27, -26.77, 1.62, 0.00, 4.40, -0.27, -0.10, 0.87, 250199365, 1215384875, 49010, 286291
10.98, 83.27, -26.77, 1.56, 0.47, 4.94, -0.27, -0.11, 0.88, 250199365, 1215384875, 49010, 286297
10.98, 83.27, -26.77, 1.66, 0.76, 5.20, -0.26, -0.11, 0.89, 250199365, 1215384875, 49010, 286303
10.98, 83.27, -26.77, 1.77, 0.66, 5.33, -0.26, -0.11, 0.90, 250199365, 1215384875, 49010, 286309
10.98, 83.27, -26.77, 2.26, -0.21, 5.59, -0.25, -0.12, 0.91, 250199365, 1215384875, 49010, 286315
10.98, 83.27, -26.77, 2.56, -0.79, 5.43, -0.25, -0.13, 0.91, 250199365, 1215384875, 49010, 286321
10.98, 83.27, -26.77, 2.87, -1.22, 5.21, -0.25, -0.13, 0.90, 250199365, 1215384875, 49010, 286327
10.98, 83.27, -26.77, 3.07, -1.48, 4.96, -0.26, -0.14, 0.90, 250199365, 1215384875, 49010, 286333
10.98, 83.27, -26.77, 3.00, -1.56, 4.84, -0.27, -0.14, 0.89, 250199365, 1215384875, 49010, 286339
10.98, 83.27, -26.77, 1.53, -1.00, 4.71, -0.28, -0.15, 0.89, 250199365, 1215384875, 49010, 286345
10.98, 83.27, -26.77, 0.78, -0.31, 4.78, -0.28, -0.16, 0.89, 250199365, 1215384875, 49010, 286351
10.98, 83.27, -26.77, -0.24, 0.39, 4.59, -0.27, -0.16, 0.89, 250199365, 1215384875, 49010, 286357
10.98, 83.27, -26.77, -1.03, 0.85, 4.41, -0.26, -0.16, 0.91, 250199365, 1215384875, 49010, 286363
10.98, 83.27, -26.77, -1.68, 0.88, 4.12, -0.26, -0.16, 0.92, 250199365, 1215384875, 49010, 286369
10.98, 83.27, -26.77, -2.00, -0.31, 2.92, -0.25, -0.16, 0.93, 250199365, 1215384875, 49010, 286375
10.98, 83.27, -26.77, -1.74, -1.09, 2.32, -0.24, -0.14, 0.93, 250199365, 1215384875, 49010, 286381
10.98, 83.27, -26.77, -1.56, -1.85, 1.70, -0.25, -0.13, 0.92, 250199365, 1215384875, 49010, 286386
10.98, 83.27, -26.77, -1.39, -2.57, 1.21, -0.25, -0.12, 0.92, 250199365, 1215384875, 49010, 286393
10.98, 83.27, -26.77, -1.39, -3.20, 1.15, -0.26, -0.12, 0.91, 250199365, 1215384875, 49010, 286399
10.98, 83.27, -26.77, -1.48, -3.51, 1.21, -0.26, -0.11, 0.90, 250199365, 1215384875, 49010, 286404
10.32, 81.62, -26.77, -2.17, -3.07, 1.99, -0.26, -0.10, 0.89, 250199365, 1215384875, 49010, 286411
10.32, 81.62, -26.77, -2.93, -2.89, 2.75, -0.26, -0.09, 0.90, 250199365, 1215384875, 49010, 286417
10.32, 81.62, -26.77, -3.71, -2.76, 3.67, -0.25, -0.09, 0.91, 250199365, 1215384875, 49010, 286423
10.32, 81.62, -26.77, -4.46, -2.87, 4.62, -0.26, -0.10, 0.91, 250199365, 1215384875, 49010, 286428
10.32, 81.62, -26.77, -4.92, -3.30, 5.26, -0.26, -0.11, 0.91, 250199365, 1215384875, 49010, 286434
10.32, 81.62, -26.77, -4.77, -4.63, 4.92, -0.28, -0.14, 0.90, 250199365, 1215384875, 49010, 286440
10.32, 81.62, -26.77, -4.43, -5.49, 4.14, -0.29, -0.14, 0.89, 250199365, 1215384875, 49010, 286446
10.32, 81.62, -26.77, -4.12, -6.13, 3.43, -0.29, -0.14, 0.89, 250199365, 1215384875, 49010, 286452
10.32, 81.62, -26.77, -3.97, -6.55, 2.82, -0.30, -0.13, 0.88, 250199365, 1215384875, 49010, 286458
10.32, 81.62, -26.77, -3.94, -6.94, 2.56, -0.32, -0.13, 0.87, 250199365, 1215384875, 49010, 286464
10.32, 81.62, -26.77, -4.14, -7.37, 2.04, -0.32, -0.13, 0.86, 250199365, 1215384875, 49010, 286470
10.32, 81.62, -26.77, -4.17, -7.42, 1.88, -0.34, -0.12, 0.85, 250199365, 1215384875, 49010, 286476
10.32, 81.62, -26.77, -4.00, -7.39, 1.78, -0.34, -0.12, 0.85, 250199365, 1215384875, 49010, 286482
10.32, 81.62, -26.77, -3.70, -7.36, 1.72, -0.35, -0.13, 0.84, 250199365, 1215384875, 49010, 286488
10.32, 81.62, -26.77, -3.09, -7.21, 1.63, -0.36, -0.12, 0.85, 250199365, 1215384875, 49010, 286493
10.32, 81.62, -26.77, -1.36, -6.77, 1.59, -0.36, -0.13, 0.85, 250199365, 1215384875, 49010, 286499
10.32, 81.62, -26.77, -2.00, -6.77, 1.47, -0.35, -0.14, 0.84, 250199365, 1215384875, 49010, 286505
10.32, 81.62, -26.77, -2.52, -6.30, 0.69, -0.36, -0.15, 0.84, 250199365, 1215384875, 49010, 286511
10.32, 81.62, -26.77, -2.47, -5.93, -0.05, -0.37, -0.15, 0.85, 250199365, 1215384875, 49010, 286517
10.32, 81.62, -26.77, -2.43, -5.76, -1.10, -0.38, -0.14, 0.86, 250199365, 1215384875, 49010, 286523
10.32, 81.62, -26.77, -0.50, -5.23, -1.93, -0.39, -0.13, 0.87, 250199365, 1215384875, 49010, 286529
10.81, 83.76, -28.20, 2.30, -4.62, -2.95, -0.39, -0.14, 0.87, 250199365, 1215384875, 49010, 286535
10.81, 83.76, -28.20, -0.49, -4.85, -3.98, -0.38, -0.16, 0.82, 250199365, 1215384875, 49010, 286541
10.81, 83.76, -28.20, -2.05, -4.36, -5.29, -0.39, -0.16, 0.82, 250199365, 1215384875, 49010, 286547
10.81, 83.76, -28.20, -2.41, -3.48, -6.40, -0.41, -0.16, 0.83, 250199365, 1215384875, 49010, 286553
10.81, 83.76, -28.20, -3.30, -2.75, -7.33, -0.43, -0.17, 0.83, 250199365, 1215384875, 49010, 286559
